"type","title","url","meta"
"video","Input Output Introduction in C++","https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-io-in-cpp-2/video/MjM4OQ%3D%3D","Duration: 5 min, 19 sec"
"video","Output in C++","https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-io-in-cpp-2/video/MjM5MQ%3D%3D","Duration: 5 min, 23 sec"
"video","Input in C++","https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-io-in-cpp-2/video/MjM5MA%3D%3D","Duration: 5 min, 7 sec"
"video","A Buffering Example in C++","https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-io-in-cpp-2/video/MjM4OA%3D%3D","Duration: 1 minute, 47 sec"
"video","Escape Sequences in C++","https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-io-in-cpp-2/video/MjM5Mg%3D%3D","Duration: 4 min, 3 sec"
"video","IO Manipulation","https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-io-in-cpp-2/video/MjM5Ng%3D%3D","Duration: 7 min, 57 sec"
"video","Floating Point Default Print Format","https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-io-in-cpp-2/video/MjM5Mw%3D%3D","Duration: 4 min, 16 sec"
"video","Floating point Manipulating Default Format","https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-io-in-cpp-2/video/MjM5NA%3D%3D","Duration: 4 min, 37 sec"
"article","Input & Output in C++","https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-io-in-cpp-2/article/NjY3MA%3D%3D","Last Updated: 2025-01-27"
"video","Floating Point Fixed and Scientific","https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-io-in-cpp-2/video/MjM5NQ%3D%3D","Duration: 5 min, 51 sec"
"video","References in C++","https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-references-2/video/MjM4Ng%3D%3D","Duration: 4 min, 14 sec"
"article","References in C++","https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-references-2/article/NjkyMw%3D%3D","Last Updated: 2025-01-14"
"article","Function Parameters & References","https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-references-2/article/NzU5MA%3D%3D","Last Updated: 2025-01-14"
"article","Range Based for Loop","https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-references-2/article/Njk1NQ%3D%3D","Last Updated: 2025-01-14"
"article","Const & R Value References","https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-references-2/article/NzU5MQ%3D%3D","Last Updated: 2025-01-15"
"article","References Practice Questions in C++","https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-references-2/article/NzY1MA%3D%3D","Last Updated: 2025-01-15"
"video","Function Parameters & References","https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-references-2/video/MjM4Mg%3D%3D","Duration: 4 min, 10 sec"
"video","Range Based for Loop & References","https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-references-2/video/MjM4NQ%3D%3D","Duration: 3 min, 38 sec"
"video","Const & R Value References","https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-references-2/video/MjM4MQ%3D%3D","Duration: 3 min,"
"video","References Practice Questions","https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-references-2/video/MjM4Nw%3D%3D","Duration: 4 min, 30 sec"
"video","Address and Dereference Operators in C++","https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-pointers-2/video/MjQxMg%3D%3D","Duration: 4 min, 37 sec"
"video","Introduction to Pointers in C++","https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-pointers-2/video/MjQxMw%3D%3D","Duration: 7 min, 19 sec"
"video","Applications of Pointers in C++","https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-pointers-2/video/MjQwMA%3D%3D","Duration: 4 min, 33 sec"
"video","Function Parameter and Pointers","https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-pointers-2/video/MjQwMg%3D%3D","Duration: 3 min, 47 sec"
"video","Array Parameters and Pointers","https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-pointers-2/video/MjQwMQ%3D%3D","Duration: 4 min, 35 sec"
"video","Pointers versus Arrays","https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-pointers-2/video/MjQxNQ%3D%3D","Duration: 8 min, 25 sec"
"video","NULL in C++","https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-pointers-2/video/MjQxNA%3D%3D","Duration: 7 min, 37 sec"
"video","nullptr in C++","https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-pointers-2/video/MjQxNw%3D%3D","Duration: 3 min, 30 sec"
"video","Pointer Arithmetic","https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-pointers-2/video/MjQxOA%3D%3D","Duration: 8 min, 15 sec"
"video","Pointer Practice Questions","https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-pointers-2/video/MjQwMw%3D%3D","Duration: 6 min, 2 sec"
