question_id,correct_answer_id
40078,164498
40079,164502
40080,164506
40081,164509
40089,164542
40083,164518
40084,164521
40085,164525
40086,164530
40087,164533
43775,178616
43776,178619
43777,178625
43778,178628
43779,178631
43780,178637
43781,178640
43782,178645
43783,178649
43784,178652
40247,165080
40248,165083
40249,165088
40254,165107
40256,165114
51470,209102
51469,209097
51468,209096
51467,209092
51466,209088
40288,165226
40289,165227
40290,165232
40291,165235
40292,165241
40293,165245
40294,165249
40295,165252
40296,165258
40297,165261
41108,168301
41109,168303
41110,168309
41111,168314
41112,168315
41113,168319
41114,168325
41115,168329
41116,168331
41117,168338
40766,166975
40767,166980
40768,166983
40769,166985
40770,166991
40771,166993
40772,166997
40773,167001
40774,167005
40775,167007
40754,166926
40756,166935
40757,166940
40758,166943
40759,166949
40760,166951
40765,166972
40762,166959
40763,166964
40764,166966
40593,166326
40594,166329
40595,166333
40596,166337
40597,166340
40598,166346
40599,166350
40600,166355
40601,166356
40602,166360
40744,166887
40745,166894
40746,166895
40747,166900
40748,166905
40749,166910
40750,166911
40751,166915
40752,166921
40753,166925
40583,166286
40584,166288
40585,166295
40586,166297
40587,166303
40588,166305
40589,166309
40590,166315
40591,166319
40592,166321
40683,166649
40684,166654
40685,166657
40686,166659
40687,166663
40688,166670
40689,166671
40690,166678
40691,166680
40692,166684
40733,166845
40734,166848
40735,166854
40736,166856
40737,166859
40738,166865
40743,166885
40740,166874
40741,166877
40742,166880
40713,166767
40714,166774
40715,166775
40716,166781
40717,166783
40718,166789
40719,166792
40720,166797
40721,166799
40722,166805
11092,44430
11093,44433
11095,44441
11096,44445
44408,181089
40694,166691
40695,166698
40696,166701
40697,166705
40698,166710
40699,166713
40700,166716
40701,166720
40702,166726
40693,166687
40703,166728
40704,166733
40705,166736
40706,166739
40707,166744
40708,166750
40709,166754
40710,166757
40711,166762
40712,166765
40520,166039
40521,166044
40522,166046
40523,166052
40524,166055
40525,166058
40526,166062
40527,166066
40528,166068
40529,166072
40068,164466
40069,164469
40070,164473
40071,164476
40072,320548
40073,164480
40074,164482
40075,164485
40076,164492
40077,164494
40090,164545
40091,164550
40092,164551
40093,164556
40094,164559
40095,330374
40096,164564
40097,164568
40098,164570
40099,164574
40100,164578
40101,164583
40102,164586
40103,164591
40104,164593
40106,164601
40107,164606
40108,164612
40109,164613
40110,164617
40111,164623
40112,164626
40113,164631
40114,164634
40115,164637
40116,164639
40117,164644
40118,335136
40119,164650
40120,164654
40121,164659
40122,164663
40123,164666
40124,164670
40125,164673
40126,164680
40127,335176
40128,164683
40129,164685
40130,164689
40154,164776
40155,164780
40156,164783
40157,164788
40158,164790
40159,164794
40160,164796
40161,164799
40162,164801
40163,164803
40141,164728
40142,164732
40152,164767
40144,164740
40145,164743
40146,164744
40147,164749
40148,164752
40149,164755
40150,164758
39937,163994
39938,164001
39939,164003
39940,164006
39941,164011
39942,164016
39943,164020
39944,164025
39945,164026
39946,164032
39968,164113
39969,164117
39970,164121
39971,164125
39972,164130
39973,164134
39975,164142
39976,164147
39977,164151
39978,164155
39993,164212
39994,164215
39995,164216
39996,164223
39997,164225
39998,164229
39999,164233
40000,164235
40001,164240
40002,164244
